State Name,Dist Name,Year,max_N_budjet_kg_ha,min_N_budjet_kg_ha,median_N_budjet_kg_ha,mean_N_budjet_kg_ha,percentile_95_N_budjet_kg_ha,percentile_5_N_budjet_kg_ha,percentile_75_N_budjet_kg_ha,percentile_25_N_budjet_kg_ha
Uttar Pradesh,Sultanpur,1986,100.14827620734528,70.41226002852385,80.78365642032716,83.56819808003375,99.86440497186639,70.69613126400273,92.59255903580781,76.68878036787123
Uttar Pradesh,Sultanpur,1987,99.640100271939,69.30962175915604,78.73108047455378,82.56026750188295,99.23361263923924,69.71610939185581,93.30598492457314,75.37608838328941
Uttar Pradesh,Sultanpur,1988,105.07102224128718,77.69401129089125,85.7737423817942,89.51292530465753,104.53400899311816,78.23102453906027,100.38601443256849,82.37901909960993
Uttar Pradesh,Sultanpur,1989,103.97557214619673,77.31945685350459,85.22283990275173,88.83928963415103,103.49792592707959,77.79710307262172,99.82463483993153,81.47039415976978
Uttar Pradesh,Sultanpur,1990,120.61448000963163,86.87360403302236,101.35434166895436,101.96846877468123,120.2633995380995,87.22468450455449,108.73667193977616,92.87737332774846
Uttar Pradesh,Sultanpur,1991,109.72679109207252,86.73415690744321,92.6666213744255,96.37585645798042,109.68156033678368,86.77938766273206,109.01699307143886,87.44395492807689
Uttar Pradesh,Sultanpur,1992,115.97990235960059,81.65676530432563,95.19097662530041,96.70114078726719,115.34667097022161,82.28999669370461,104.66122611113784,87.52699769793828
Uttar Pradesh,Sultanpur,1993,111.76966249689286,81.9180469497336,89.9115657782934,94.53309174163995,111.0270403603847,82.66066908624175,106.89068826878224,86.79702117784421
Uttar Pradesh,Sultanpur,1994,111.7575884540277,89.2341420365488,97.3220589088244,98.62383724576894,110.72100044885103,90.06317860245534,103.95216482113226,92.24935190856075
Uttar Pradesh,Sultanpur,1995,130.01121874391998,107.76848233548932,115.07201439355563,116.95345192761766,128.96997255911333,108.63903158909596,123.02580137785668,110.8487698355105
Uttar Pradesh,Sultanpur,1996,123.52949772627538,95.79803220157837,108.40159980035793,107.64457070482017,122.56232732635573,96.58031060440682,111.19746940283095,98.62326711438018
